identity,level,count,perc,eth,gen,year,perc_total
fem_asian,Leadership,1570,11.821398991039832,asi,woman,2017,11.561588593238037
fem_asian,Prof_tech,4511,11.615511381192707,asi,woman,2017,11.561588593238037
fem_asian,sales_service_admin,341,9.944590259550889,asi,woman,2017,11.561588593238037
fem_black,Leadership,153,1.1520216851140728,bla,woman,2017,0.9793684513736363
fem_black,Prof_tech,296,0.7621794211556288,bla,woman,2017,0.9793684513736363
fem_black,sales_service_admin,95,2.7704870224555265,bla,woman,2017,0.9793684513736363
fem_lat_other_more,Leadership,388,2.9214667570213084,oth,woman,2017,2.619450545493825
fem_lat_other_more,Prof_tech,785,2.0213204243485423,oth,woman,2017,2.619450545493825
fem_lat_other_more,sales_service_admin,282,8.223972003499561,oth,woman,2017,2.619450545493825
fem_nat_am,Leadership,17,0.1280024094571192,nat,woman,2017,0.11702012746192345
fem_nat_am,Prof_tech,31,0.07982284478319085,nat,woman,2017,0.11702012746192345
fem_nat_am,sales_service_admin,17,0.4957713619130942,nat,woman,2017,0.11702012746192345
fem_white,Leadership,2845,21.421579700323772,whi,woman,2017,14.27825586000792
fem_white,Prof_tech,3810,9.810485116901843,whi,woman,2017,14.27825586000792
fem_white,sales_service_admin,1276,37.212015164771074,whi,woman,2017,14.27825586000792
male_asian,Leadership,2269,17.08455688577667,asi,man,2017,24.138551830914917
male_asian,Prof_tech,10937,28.16201462560511,asi,man,2017,24.138551830914917
male_asian,sales_service_admin,202,5.890930300379119,asi,man,2017,24.138551830914917
male_black,Leadership,176,1.3252014155560576,bla,man,2017,1.4384474129550284
male_black,Prof_tech,537,1.3827376660830157,bla,man,2017,1.4384474129550284
male_black,sales_service_admin,86,2.5080198308544763,bla,man,2017,1.4384474129550284
male_lat_other_more,Leadership,579,4.35961147503953,oth,man,2017,5.118280344219206
male_lat_other_more,Prof_tech,2049,5.276032547121227,oth,man,2017,5.118280344219206
male_lat_other_more,sales_service_admin,215,6.2700495771361915,oth,man,2017,5.118280344219206
male_nat_am,Leadership,34,0.2560048189142384,nat,man,2017,0.1890325135923379
male_nat_am,Prof_tech,62,0.1596456895663817,nat,man,2017,0.1890325135923379
male_nat_am,sales_service_admin,9,0.26246719160104987,nat,man,2017,0.1890325135923379
male_white,Leadership,5250,39.5301558617574,whi,man,2017,39.56000432074317
male_white,Prof_tech,15818,40.730250283242356,whi,man,2017,39.56000432074317
male_white,sales_service_admin,906,26.42169728783902,whi,man,2017,39.56000432074317
fem_asian,Leadership,2107,12.55511857943034,asi,woman,2018,12.309659766833214
fem_asian,Prof_tech,5791,12.39458927271949,asi,woman,2018,12.309659766833214
fem_asian,sales_service_admin,380,10.149572649572649,asi,woman,2018,12.309659766833214
fem_black,Leadership,225,1.3407222023596712,bla,woman,2018,1.101891506067095
fem_black,Prof_tech,397,0.8497067762510166,bla,woman,2018,1.101891506067095
fem_black,sales_service_admin,119,3.1784188034188032,bla,woman,2018,1.101891506067095
fem_lat_other_more,Leadership,602,3.587176736980098,oth,woman,2018,3.0885676897454197
fem_lat_other_more,Prof_tech,1121,2.3992979752579084,oth,woman,2018,3.0885676897454197
fem_lat_other_more,sales_service_admin,354,9.455128205128204,oth,woman,2018,3.0885676897454197
fem_nat_am,Leadership,23,0.1370516029078775,nat,woman,2018,0.11301451344277896
fem_nat_am,Prof_tech,37,0.0791918154188605,nat,woman,2018,0.11301451344277896
fem_nat_am,sales_service_admin,16,0.4273504273504274,nat,woman,2018,0.11301451344277896
fem_white,Leadership,3486,20.77225598855917,whi,woman,2018,14.33945990958839
fem_white,Prof_tech,4774,10.21788450836865,whi,woman,2018,14.33945990958839
fem_white,sales_service_admin,1383,36.93910256410257,whi,woman,2018,14.33945990958839
male_asian,Leadership,2961,17.643904183053273,asi,man,2018,25.230490126100403
male_asian,Prof_tech,13799,29.534266512563672,asi,man,2018,25.230490126100403
male_asian,sales_service_admin,207,5.528846153846153,asi,man,2018,25.230490126100403
male_black,Leadership,268,1.5969491121439638,bla,man,2018,1.5643587913395194
male_black,Prof_tech,688,1.4725397029236762,bla,man,2018,1.5643587913395194
